#prot   lig bin   score
   Br  C.ar 4.80   0.0000
   Br  C.ar 4.90   0.0000
   Br  C.ar 5.00   0.0000
   Br  C.ar 5.10   0.0000
   Br  C.ar 5.20   0.0000
   Br  C.ar 5.30   0.0000
   Br  C.ar 5.40   0.0000
   Br  C.ar 5.50   0.0000
   Br  C.ar 5.60   0.0000
   Br  C.ar 5.70   0.0000
   Br  C.ar 5.80   0.0000
   Br  C.ar 5.90   0.0000
   Br C.cat 1.00   0.0000
   Br C.cat 1.10   0.0000
   Br C.cat 1.20   0.0000
   Br C.cat 1.30   0.0000
   Br C.cat 1.40   0.0000
   Br C.cat 1.50   0.0000
   Br C.cat 1.60   0.0000
   Br C.cat 1.70   0.0000
   Br C.cat 1.80   0.0000
   Br C.cat 1.90   0.0000
   Br C.cat 2.00   0.0000
   Br C.cat 2.10   0.0000
   Br C.cat 2.20   0.0000
   Br C.cat 2.30   0.0000
   Br C.cat 2.40   0.0000
   Br C.cat 2.50   0.0000
   Br C.cat 2.60   0.0000
   Br C.cat 2.70   0.0000
   Br C.cat 2.80   0.0000
   Br C.cat 2.90   0.0000
   Br C.cat 3.00   0.0000
   Br C.cat 3.10   0.0000
   Br C.cat 3.20   0.0000
   Br C.cat 3.30   0.0000
   Br C.cat 3.40   0.0000
   Br C.cat 3.50   0.0000
   Br C.cat 3.60   0.0000
   Br C.cat 3.70   0.0000
   Br C.cat 3.80   0.0000
   Br C.cat 3.90   0.0000
   Br C.cat 4.00   0.0000
   Br C.cat 4.10   0.0000
   Br C.cat 4.20   0.0000
   Br C.cat 4.30   0.0000
   Br C.cat 4.40   0.0000
   Br C.cat 4.50   0.0000
   Br C.cat 4.60   0.0000
   Br C.cat 4.70   0.0000
   Br C.cat 4.80   0.0000
   Br C.cat 4.90   0.0000
   Br C.cat 5.00   0.0000
   Br C.cat 5.10   0.0000
   Br C.cat 5.20   0.0000
   Br C.cat 5.30   0.0000
   Br C.cat 5.40   0.0000
   Br C.cat 5.50   0.0000
   Br C.cat 5.60   0.0000
   Br C.cat 5.70   0.0000
   Br C.cat 5.80   0.0000
   Br C.cat 5.90   0.0000
   Br    Cl 1.00   0.0000
   Br    Cl 1.10   0.0000
   Br    Cl 1.20   0.0000
   Br    Cl 1.30   0.0000
   Br    Cl 1.40   0.0000
   Br    Cl 1.50   0.0000
   Br    Cl 1.60   0.0000
   Br    Cl 1.70   0.0000
   Br    Cl 1.80   0.0000
   Br    Cl 1.90   0.0000
   Br    Cl 2.00   0.0000
   Br    Cl 2.10   0.0000
   Br    Cl 2.20   0.0000
   Br    Cl 2.30   0.0000
   Br    Cl 2.40   0.0000
   Br    Cl 2.50   0.0000
   Br    Cl 2.60   0.0000
   Br    Cl 2.70   0.0000
   Br    Cl 2.80   0.0000
   Br    Cl 2.90   0.0000
   Br    Cl 3.00   0.0000
   Br    Cl 3.10   0.0000
   Br    Cl 3.20   0.0000
   Br    Cl 3.30   0.0000
   Br    Cl 3.40   0.0000
   Br    Cl 3.50   0.0000
   Br    Cl 3.60   0.0000
   Br    Cl 3.70   0.0000
   Br    Cl 3.80   0.0000
   Br    Cl 3.90   0.0000
   Br    Cl 4.00   0.0000
   Br    Cl 4.10   0.0000
   Br    Cl 4.20   0.0000
   Br    Cl 4.30   0.0000
   Br    Cl 4.40   0.0000
   Br    Cl 4.50   0.0000
   Br    Cl 4.60   0.0000
   Br    Cl 4.70   0.0000
   Br    Cl 4.80   0.0000
   Br    Cl 4.90   0.0000
   Br    Cl 5.00   0.0000
   Br    Cl 5.10   0.0000
   Br    Cl 5.20   0.0000
   Br    Cl 5.30   0.0000
   Br    Cl 5.40   0.0000
   Br    Cl 5.50   0.0000
   Br    Cl 5.60   0.0000
   Br    Cl 5.70   0.0000
   Br    Cl 5.80   0.0000
   Br    Cl 5.90   0.0000
   Br     F 1.00   0.0000
   Br     F 1.10   0.0000
   Br     F 1.20   0.0000
   Br     F 1.30   0.0000
   Br     F 1.40   0.0000
   Br     F 1.50   0.0000
   Br     F 1.60   0.0000
   Br     F 1.70   0.0000
   Br     F 1.80   0.0000
   Br     F 1.90   0.0000
   Br     F 2.00   0.0000
   Br     F 2.10   0.0000
   Br     F 2.20   0.0000
   Br     F 2.30   0.0000
   Br     F 2.40   0.0000
   Br     F 2.50   0.0000
   Br     F 2.60   0.0000
   Br     F 2.70   0.0000
   Br     F 2.80   0.0000
   Br     F 2.90   0.0000
   Br     F 3.00   0.0000
   Br     F 3.10   0.0000
   Br     F 3.20   0.0000
   Br     F 3.30   0.0000
   Br     F 3.40   0.0000
   Br     F 3.50   0.0000
   Br     F 3.60   0.0000
   Br     F 3.70   0.0000
   Br     F 3.80   0.0000
   Br     F 3.90   0.0000
   Br     F 4.00   0.0000
   Br     F 4.10   0.0000
   Br     F 4.20   0.0000
   Br     F 4.30   0.0000
   Br     F 4.40   0.0000
   Br     F 4.50   0.0000
   Br     F 4.60   0.0000
   Br     F 4.70   0.0000
   Br     F 4.80   0.0000
   Br     F 4.90   0.0000
   Br     F 5.00   0.0000
   Br     F 5.10   0.0000
   Br     F 5.20   0.0000
   Br     F 5.30   0.0000
   Br     F 5.40   0.0000
   Br     F 5.50   0.0000
   Br     F 5.60   0.0000
   Br     F 5.70   0.0000
   Br     F 5.80   0.0000
   Br     F 5.90   0.0000
   Br     I 1.00   0.0000
   Br     I 1.10   0.0000
   Br     I 1.20   0.0000
   Br     I 1.30   0.0000
   Br     I 1.40   0.0000
   Br     I 1.50   0.0000
   Br     I 1.60   0.0000
   Br     I 1.70   0.0000
   Br     I 1.80   0.0000
   Br     I 1.90   0.0000
   Br     I 2.00   0.0000
   Br     I 2.10   0.0000
   Br     I 2.20   0.0000
   Br     I 2.30   0.0000
   Br     I 2.40   0.0000
   Br     I 2.50   0.0000
   Br     I 2.60   0.0000
   Br     I 2.70   0.0000
   Br     I 2.80   0.0000
   Br     I 2.90   0.0000
   Br     I 3.00   0.0000
   Br     I 3.10   0.0000
   Br     I 3.20   0.0000
   Br     I 3.30   0.0000
   Br     I 3.40   0.0000
   Br     I 3.50   0.0000
   Br     I 3.60   0.0000
   Br     I 3.70   0.0000
   Br     I 3.80   0.0000
   Br     I 3.90   0.0000
   Br     I 4.00   0.0000
   Br     I 4.10   0.0000
   Br     I 4.20   0.0000
   Br     I 4.30   0.0000
   Br     I 4.40   0.0000
   Br     I 4.50   0.0000
   Br     I 4.60   0.0000
   Br     I 4.70   0.0000
   Br     I 4.80   0.0000
   Br     I 4.90   0.0000
   Br     I 5.00   0.0000
   Br     I 5.10   0.0000
   Br     I 5.20   0.0000
   Br     I 5.30   0.0000
   Br     I 5.40   0.0000
   Br     I 5.50   0.0000
   Br     I 5.60   0.0000
   Br     I 5.70   0.0000
   Br     I 5.80   0.0000
   Br     I 5.90   0.0000
   Br   Met 1.00   0.0000
   Br   Met 1.10   0.0000
