#prot   lig bin   score
   Br  N.am 3.00   0.0000
   Br  N.am 3.10   0.0000
   Br  N.am 3.20   0.0000
   Br  N.am 3.30   0.0000
   Br  N.am 3.40   0.0000
   Br  N.am 3.50   0.0000
   Br  N.am 3.60   0.0000
   Br  N.am 3.70   0.0000
   Br  N.am 3.80   0.0000
   Br  N.am 3.90   0.0000
   Br  N.am 4.00   0.0000
   Br  N.am 4.10   0.0000
   Br  N.am 4.20   0.0000
   Br  N.am 4.30   0.0000
   Br  N.am 4.40   0.0000
   Br  N.am 4.50   0.0000
   Br  N.am 4.60   0.0000
   Br  N.am 4.70   0.0000
   Br  N.am 4.80   0.0000
   Br  N.am 4.90   0.0000
   Br  N.am 5.00   0.0000
   Br  N.am 5.10   0.0000
   Br  N.am 5.20   0.0000
   Br  N.am 5.30   0.0000
   Br  N.am 5.40   0.0000
   Br  N.am 5.50   0.0000
   Br  N.am 5.60   0.0000
   Br  N.am 5.70   0.0000
   Br  N.am 5.80   0.0000
   Br  N.am 5.90   0.0000
   Br  N.ar 1.00   0.0000
   Br  N.ar 1.10   0.0000
   Br  N.ar 1.20   0.0000
   Br  N.ar 1.30   0.0000
   Br  N.ar 1.40   0.0000
   Br  N.ar 1.50   0.0000
   Br  N.ar 1.60   0.0000
   Br  N.ar 1.70   0.0000
   Br  N.ar 1.80   0.0000
   Br  N.ar 1.90   0.0000
   Br  N.ar 2.00   0.0000
   Br  N.ar 2.10   0.0000
   Br  N.ar 2.20   0.0000
   Br  N.ar 2.30   0.0000
   Br  N.ar 2.40   0.0000
   Br  N.ar 2.50   0.0000
   Br  N.ar 2.60   0.0000
   Br  N.ar 2.70   0.0000
   Br  N.ar 2.80   0.0000
   Br  N.ar 2.90   0.0000
   Br  N.ar 3.00   0.0000
   Br  N.ar 3.10   0.0000
   Br  N.ar 3.20   0.0000
   Br  N.ar 3.30   0.0000
   Br  N.ar 3.40   0.0000
   Br  N.ar 3.50   0.0000
   Br  N.ar 3.60   0.0000
   Br  N.ar 3.70   0.0000
   Br  N.ar 3.80   0.0000
   Br  N.ar 3.90   0.0000
   Br  N.ar 4.00   0.0000
   Br  N.ar 4.10   0.0000
   Br  N.ar 4.20   0.0000
   Br  N.ar 4.30   0.0000
   Br  N.ar 4.40   0.0000
   Br  N.ar 4.50   0.0000
   Br  N.ar 4.60   0.0000
   Br  N.ar 4.70   0.0000
   Br  N.ar 4.80   0.0000
   Br  N.ar 4.90   0.0000
   Br  N.ar 5.00   0.0000
   Br  N.ar 5.10   0.0000
   Br  N.ar 5.20   0.0000
   Br  N.ar 5.30   0.0000
   Br  N.ar 5.40   0.0000
   Br  N.ar 5.50   0.0000
   Br  N.ar 5.60   0.0000
   Br  N.ar 5.70   0.0000
   Br  N.ar 5.80   0.0000
   Br  N.ar 5.90   0.0000
   Br N.pl3 1.00   0.0000
   Br N.pl3 1.10   0.0000
   Br N.pl3 1.20   0.0000
   Br N.pl3 1.30   0.0000
   Br N.pl3 1.40   0.0000
   Br N.pl3 1.50   0.0000
   Br N.pl3 1.60   0.0000
   Br N.pl3 1.70   0.0000
   Br N.pl3 1.80   0.0000
   Br N.pl3 1.90   0.0000
   Br N.pl3 2.00   0.0000
   Br N.pl3 2.10   0.0000
   Br N.pl3 2.20   0.0000
   Br N.pl3 2.30   0.0000
   Br N.pl3 2.40   0.0000
   Br N.pl3 2.50   0.0000
   Br N.pl3 2.60   0.0000
   Br N.pl3 2.70   0.0000
   Br N.pl3 2.80   0.0000
   Br N.pl3 2.90   0.0000
   Br N.pl3 3.00   0.0000
   Br N.pl3 3.10   0.0000
   Br N.pl3 3.20   0.0000
   Br N.pl3 3.30   0.0000
   Br N.pl3 3.40   0.0000
   Br N.pl3 3.50   0.0000
   Br N.pl3 3.60   0.0000
   Br N.pl3 3.70   0.0000
   Br N.pl3 3.80   0.0000
   Br N.pl3 3.90   0.0000
   Br N.pl3 4.00   0.0000
   Br N.pl3 4.10   0.0000
   Br N.pl3 4.20   0.0000
   Br N.pl3 4.30   0.0000
   Br N.pl3 4.40   0.0000
   Br N.pl3 4.50   0.0000
   Br N.pl3 4.60   0.0000
   Br N.pl3 4.70   0.0000
   Br N.pl3 4.80   0.0000
   Br N.pl3 4.90   0.0000
   Br N.pl3 5.00   0.0000
   Br N.pl3 5.10   0.0000
   Br N.pl3 5.20   0.0000
   Br N.pl3 5.30   0.0000
   Br N.pl3 5.40   0.0000
   Br N.pl3 5.50   0.0000
   Br N.pl3 5.60   0.0000
   Br N.pl3 5.70   0.0000
   Br N.pl3 5.80   0.0000
   Br N.pl3 5.90   0.0000
   Br   O.2 1.00   0.0000
   Br   O.2 1.10   0.0000
   Br   O.2 1.20   0.0000
   Br   O.2 1.30   0.0000
   Br   O.2 1.40   0.0000
   Br   O.2 1.50   0.0000
   Br   O.2 1.60   0.0000
   Br   O.2 1.70   0.0000
   Br   O.2 1.80   0.0000
   Br   O.2 1.90   0.0000
   Br   O.2 2.00   0.0000
   Br   O.2 2.10   0.0000
   Br   O.2 2.20   0.0000
   Br   O.2 2.30   0.0000
   Br   O.2 2.40   0.0000
   Br   O.2 2.50   0.0000
   Br   O.2 2.60   0.0000
   Br   O.2 2.70   0.0000
   Br   O.2 2.80   0.0000
   Br   O.2 2.90   0.0000
   Br   O.2 3.00   0.0000
   Br   O.2 3.10   0.0000
   Br   O.2 3.20   0.0000
   Br   O.2 3.30   0.0000
   Br   O.2 3.40   0.0000
   Br   O.2 3.50   0.0000
   Br   O.2 3.60   0.0000
   Br   O.2 3.70   0.0000
   Br   O.2 3.80   0.0000
   Br   O.2 3.90   0.0000
   Br   O.2 4.00   0.0000
   Br   O.2 4.10   0.0000
   Br   O.2 4.20   0.0000
   Br   O.2 4.30   0.0000
   Br   O.2 4.40   0.0000
   Br   O.2 4.50   0.0000
   Br   O.2 4.60   0.0000
   Br   O.2 4.70   0.0000
   Br   O.2 4.80   0.0000
   Br   O.2 4.90   0.0000
   Br   O.2 5.00   0.0000
   Br   O.2 5.10   0.0000
   Br   O.2 5.20   0.0000
   Br   O.2 5.30   0.0000
   Br   O.2 5.40   0.0000
   Br   O.2 5.50   0.0000
   Br   O.2 5.60   0.0000
   Br   O.2 5.70   0.0000
   Br   O.2 5.80   0.0000
   Br   O.2 5.90   0.0000
   Br   O.3 1.00   0.0000
   Br   O.3 1.10   0.0000
   Br   O.3 1.20   0.0000
   Br   O.3 1.30   0.0000
   Br   O.3 1.40   0.0000
   Br   O.3 1.50   0.0000
   Br   O.3 1.60   0.0000
   Br   O.3 1.70   0.0000
   Br   O.3 1.80   0.0000
   Br   O.3 1.90   0.0000
   Br   O.3 2.00   0.0000
   Br   O.3 2.10   0.0000
   Br   O.3 2.20   0.0000
   Br   O.3 2.30   0.0000
   Br   O.3 2.40   0.0000
   Br   O.3 2.50   0.0000
   Br   O.3 2.60   0.0000
   Br   O.3 2.70   0.0000
   Br   O.3 2.80   0.0000
   Br   O.3 2.90   0.0000
   Br   O.3 3.00   0.0000
   Br   O.3 3.10   0.0000
   Br   O.3 3.20   0.0000
   Br   O.3 3.30   0.0000
   Br   O.3 3.40   0.0000
   Br   O.3 3.50   0.0000
   Br   O.3 3.60   0.0000
   Br   O.3 3.70   0.0000
   Br   O.3 3.80   0.0000
   Br   O.3 3.90   0.0000
   Br   O.3 4.00   0.0000
   Br   O.3 4.10   0.0000
   Br   O.3 4.20   0.0000
   Br   O.3 4.30   0.0000
   Br   O.3 4.40   0.0000
   Br   O.3 4.50   0.0000
   Br   O.3 4.60   0.0000
   Br   O.3 4.70   0.0000
   Br   O.3 4.80   0.0000
   Br   O.3 4.90   0.0000
   Br   O.3 5.00   0.0000
   Br   O.3 5.10   0.0000
   Br   O.3 5.20   0.0000
   Br   O.3 5.30   0.0000
   Br   O.3 5.40   0.0000
   Br   O.3 5.50   0.0000
   Br   O.3 5.60   0.0000
   Br   O.3 5.70   0.0000
   Br   O.3 5.80   0.0000
   Br   O.3 5.90   0.0000
   Br O.co2 1.00   0.0000
   Br O.co2 1.10   0.0000
   Br O.co2 1.20   0.0000
   Br O.co2 1.30   0.0000
   Br O.co2 1.40   0.0000
   Br O.co2 1.50   0.0000
   Br O.co2 1.60   0.0000
   Br O.co2 1.70   0.0000
   Br O.co2 1.80   0.0000
   Br O.co2 1.90   0.0000
   Br O.co2 2.00   0.0000
   Br O.co2 2.10   0.0000
   Br O.co2 2.20   0.0000
   Br O.co2 2.30   0.0000
   Br O.co2 2.40   0.0000
   Br O.co2 2.50   0.0000
   Br O.co2 2.60   0.0000
   Br O.co2 2.70   0.0000
   Br O.co2 2.80   0.0000
   Br O.co2 2.90   0.0000
   Br O.co2 3.00   0.0000
   Br O.co2 3.10   0.0000
   Br O.co2 3.20   0.0000
   Br O.co2 3.30   0.0000
   Br O.co2 3.40   0.0000
   Br O.co2 3.50   0.0000
   Br O.co2 3.60   0.0000
   Br O.co2 3.70   0.0000
   Br O.co2 3.80   0.0000
   Br O.co2 3.90   0.0000
   Br O.co2 4.00   0.0000
   Br O.co2 4.10   0.0000
   Br O.co2 4.20   0.0000
   Br O.co2 4.30   0.0000
   Br O.co2 4.40   0.0000
   Br O.co2 4.50   0.0000
   Br O.co2 4.60   0.0000
   Br O.co2 4.70   0.0000
   Br O.co2 4.80   0.0000
   Br O.co2 4.90   0.0000
   Br O.co2 5.00   0.0000
   Br O.co2 5.10   0.0000
   Br O.co2 5.20   0.0000
   Br O.co2 5.30   0.0000
   Br O.co2 5.40   0.0000
   Br O.co2 5.50   0.0000
   Br O.co2 5.60   0.0000
   Br O.co2 5.70   0.0000
   Br O.co2 5.80   0.0000
   Br O.co2 5.90   0.0000
   Br   P.3 1.00   0.0000
   Br   P.3 1.10   0.0000
   Br   P.3 1.20   0.0000
   Br   P.3 1.30   0.0000
   Br   P.3 1.40   0.0000
   Br   P.3 1.50   0.0000
   Br   P.3 1.60   0.0000
   Br   P.3 1.70   0.0000
   Br   P.3 1.80   0.0000
   Br   P.3 1.90   0.0000
   Br   P.3 2.00   0.0000
   Br   P.3 2.10   0.0000
   Br   P.3 2.20   0.0000
   Br   P.3 2.30   0.0000
   Br   P.3 2.40   0.0000
   Br   P.3 2.50   0.0000
   Br   P.3 2.60   0.0000
   Br   P.3 2.70   0.0000
   Br   P.3 2.80   0.0000
   Br   P.3 2.90   0.0000
   Br   P.3 3.00   0.0000
   Br   P.3 3.10   0.0000
   Br   P.3 3.20   0.0000
   Br   P.3 3.30   0.0000
   Br   P.3 3.40   0.0000
   Br   P.3 3.50   0.0000
   Br   P.3 3.60   0.0000
   Br   P.3 3.70   0.0000
   Br   P.3 3.80   0.0000
